Número del Individuo,Nombre común,Tipo_Hoja,Material_2.5,Material_10,Diametro,BiomasaEstimada,Altura,Area,n_Individuos
1,Abarco,Simple,0.012466666666666626,0.013666666666666716,39.0,4487.835088689853,8.12854961657177,1158.549797591111,
1,Acasia,Compuesta_bipinada,0.02216129032258074,0.021335483870967842,124.0,25561.648060434145,9.218264612091087,3345.852448066666,
2,Acasia,Compuesta_bipinada,0.013466666666666738,0.07293548387096771,86-47-77,26798.32530343667,6.722502663638702,1723.846803195556,
3,Acasia,Compuesta_bipinada,0.021361290322580717,0.030935483870967895,52-40-62-80,28009.146611835888,6.285530827627425,2371.132246973333,
4,Acasia,Compuesta_bipinada,0.039161290322580755,0.013666666666666716,128,27742.413301281682,5.159819164850667,1118.631024382222,
5,Acasia,Compuesta_bipinada,0.008466666666666844,0.02066666666666661,65-90-43,25257.480394574122,5.680132462114407,2560.106779417778,
6,Acasia,Compuesta_bipinada,0.03446129032258072,0.014666666666666606,140-48,40861.41173042744,8.419512052728908,1373.569152497778,
7,Acasia,Compuesta_bipinada,0.01546666666666674,0.022135483870967754,"87-57-74,5-103,3",44488.16753834767,8.965542866993,1240.994363884445,
8,Acasia,Compuesta_bipinada,0.03616129032258064,0.047666666666666746,61-54-77-74-70-53,46536.72255404371,8.689432706898923,2175.13242392,
9,Acasia,Compuesta_bipinada,0.01746666666666674,0.012666666666666826,142,36947.75795729789,7.896802142812189,2108.502091231111,
10,Acasia,Compuesta_bipinada,0.025627956989247358,0.032935483870967674,"67-59-57,6-68,5",29493.567712444274,8.419512052728908,,
1,Aguacate,Simple,0.009466666666666734,0.03666666666666685,79,10176.319971724577,10.58072611288203,1264.102,
2,Aguacate,Simple,0.012466666666666848,0.08033333333333337,29.5-78,13664.97120493165,12.38372703248685,,
1,Aguacatillo,Simple,0.09264516129032274,0.12093548387096775,76-34.5,13663.22656188528,10.15426611885745,837.0,
3,Almendro,Simple_grande,0.020361290322580716,0.07393548387096782,106,17684.370789714976,10.916185902543667,4655.783663324445,
2,Almendro,Simple_grande,0.009361290322580818,0.08413548387096781,95,14119.271832111552,10.14205855747842,4749.235519431112,
1,Arbol del pan,Hiper_grande_formas_raras,0.13048387096774228,0.959741935483871,162,55637.168796398764,15.173978609937961,8399.697,
2,Arbol del pan,Hiper_grande_formas_raras,0.03093333333333348,0.4896666666666669,32,3888.794229338212,4.51134982711266,,
1,Arizá,Paripinnada_tallo_hojas,0.028161290322580745,0.15560215053763482,35.5-29-11,10364.955643774283,5.038458543480214,12830.70208048,
2,Arizá,Paripinnada_tallo_hojas,0.09137849462365666,0.39057741935483903,22-19,6149.3309014300485,3.5963482062339907,,
3,Arizá,Paripinnada_tallo_hojas,0.06445053763440878,0.30353763440860226,30.5-11-25.5,9705.761004189308,5.4558809370648085,11944.36478505777,
4,Arizá,Paripinnada_tallo_hojas,0.1519623655913983,0.6249483870967747,21,3104.8287482812957,3.296949999156094,11624.42936758223,
5,Arizá,Paripinnada_tallo_hojas,0.08034516129032276,0.8610086021505379,48-25,8765.273749540707,6.082792657141333,15327.02848566667,
6,Arizá,Paripinnada_tallo_hojas,0.16449569892473137,0.48424838709677487,17-21.5,5997.531188087642,4.335686055925608,10380.92361087111,
7,Arizá,Paripinnada_tallo_hojas,0.09348387096774213,0.476644086021506,26.5,3474.7719521430017,2.7978459489299916,13165.87180440445,
8,Arizá,Paripinnada_tallo_hojas,0.08334516129032288,0.24630645161290343,27.5-29,7203.821623820533,4.906882475123913,8371.26519292,
9,Arizá,Paripinnada_tallo_hojas,0.07058387096774199,0.33747311827957027,26-25,6809.107603285432,5.125636172213079,12619.66350614222,
10,Arizá,Paripinnada_tallo_hojas,0.03332258064516136,0.24743763440860245,25-33-28,10922.02687339882,5.673518647139566,,
1,Azuceno,Simple,0.006466666666666843,0.08393548387096783,26/16/45,11316.429996380502,5.99023766591303,1432.937564226667,
2,Azuceno,Simple,0.04716129032258054,0.05566666666666675,46,5179.15389591168,5.99023766591303,1041.761859124444,
3,Azuceno,Simple,0.05862795698924761,0.036666666666666625,38,4396.914728577612,5.794918654118675,1430.101942657778,
4,Azuceno,Simple,0.11282258064516126,0.01593548387096788,30,3732.8219085444957,5.705869811818438,387.1342078088889,
5,Azuceno,Simple,0.013161290322580843,0.012935483870967879,21-12,5687.315079624331,1.7295803878086735,311.67486052,
6,Azuceno,Simple,0.03216129032258075,0.012035483870967867,25,3369.7139621387087,2.1919080964837017,329.9352541066667,
1,Bucaro,3_foliolos,0.10460645161290383,0.5721064516129035,125/52/96/101,62321.46145534028,12.15614658792244,2239.977670573334,
3,Bucaro,3_foliolos,0.10348387096774225,0.2958709677419358,184,87280.98669818419,8.75807344672109,2430.448902533334,
4,Bucaro,3_foliolos,0.16461290322580646,0.6445483870967748,286,704015.1430638162,17.340063744280958,1605.953275542223,
5,Bucaro,3_foliolos,0.03632258064516136,0.2917419354838713,119,23075.154527826584,12.835799899604634,3027.400683537778,
6,Bucaro,3_foliolos,0.04448387096774209,0.4607419354838713,125,26090.217384649604,14.72485170447186,3489.71366572,
7,Bucaro,3_foliolos,0.08680645161290335,0.4168064516129033,121/128,51781.74064328411,14.72485170447186,3188.99104136,
8,Bucaro,3_foliolos,0.019161290322580515,0.15487096774193554,121,24039.327342002427,14.72485170447186,3079.92738852,
10,Bucaro,3_foliolos,0.039483870967742085,0.2338709677419355,109,18804.255870632907,14.72485170447186,3605.38504728,
1,Caimo,Simple,0.02536129032258083,0.11913548387096773,35,4135.057027827404,4.2541774877544585,1413.406277124445,
2,Caimo,Simple,0.030161290322580747,0.0689354838709677,41,4675.354898440264,5.6292250846804395,940.7451435955556,
3,Caimo,Simple,0.01786129032258066,0.038535483870967724,15/23,5980.586522585369,4.023752878673481,1681.560292786667,
4,Caimo,Simple,0.02866129032258069,0.07593548387096782,21/15,5850.854283169396,1.8995761136357894,1243.911920773334,
5,Caimo,Simple,0.07548387096774223,0.06193548387096781,40,4580.635519804893,2.3653351514274212,981.3434853377779,
6,Caimo,Simple,0.02326129032258084,0.07443548387096777,39.5,4533.997884238532,7.993766563779609,1652.785798364445,
7,Caimo,Simple,0.08074516129032283,0.19660645161290313,55,6226.70707396812,15.841193363222308,2116.306376697778,
1,Cambulo,3_foliolos,0.15606774193548423,0.20980645161290346,303,996993.6517086506,23.7094888452947,5453.202713644444,
2,Cambulo,3_foliolos,0.21602258064516144,0.08343548387096766,258,396912.0608177663,39.9075080639763,3177.058162,
3,Cambulo,3_foliolos,0.23802903225806493,0.1858064516129032,92,13278.40038327635,11.221809544767867,3673.596523760001,
4,Cambulo,3_foliolos,0.20366774193548454,0.5207774193548391,105,17326.097963556203,13.784952719551642,4663.393612262223,
5,Cambulo,3_foliolos,0.0276612903225808,0.22737096774193577,62,7185.8866387751605,9.274176842358907,4198.879415844445,
6,Cambulo,3_foliolos,0.026161290322580633,0.07693548387096794,,0.0,,1364.654188248889,
7,Cambulo,3_foliolos,0.06502258064516142,0.05743548387096786,127-126,53810.088238502736,14.027261930959833,1378.067064648889,
1,Caracoli,Simple_grande,0.04682258064516154,0.15193548387096767,90,12745.828382273294,10.200037496635856,4651.781950897779,
2,Caracoli,Simple_grande,0.049645161290322815,0.2364064516129034,67,7960.211275770292,9.008576468763605,3945.337055546667,
3,Caracoli,Simple_grande,0.060483870967742104,0.08593548387096783,259,405119.494832326,24.830146816262122,3712.651714466667,
5,Caracoli,Simple_grande,0.040322580645161366,0.08993548387096784,204,131430.6268666013,24.587248451049625,4239.413026533334,
1,Carambolo,Paripinnada_tallo_hojas,0.01766129032258068,0.031935483870967785,12/13/25/33,12557.295402609981,5.968240341152113,1042.609455995555,
2,Carambolo,Paripinnada_tallo_hojas,0.0753225806451614,0.0006666666666668153,15/21/24/25,12522.014189380587,5.473181392530233,903.3738921733334,
1,Carbonero,Compuesta_bipinada,0.01446666666666685,0.016666666666666607,53,5976.965407026083,5.3786509733120145,134.296,
2,Carbonero,Compuesta_bipinada,0.008466666666666844,0.07366666666666677,66.5,7879.164567097337,8.915391336980173,133.955,
3,Carbonero,Compuesta_bipinada,0.01546666666666674,0.03966666666666674,68,8124.814257733681,14.366355058453793,142.789,
4,Carbonero,Compuesta_bipinada,0.012466666666666626,0.04966666666666675,56,6355.464278605056,12.274650263758433,106.161,
5,Carbonero,Compuesta_bipinada,0.018466666666666853,0.03166666666666673,56,6355.464278605056,9.55436306237423,131.776,
6,Carbonero,Compuesta_bipinada,0.01746666666666674,0.07066666666666688,55,6226.70707396812,6.282734232682529,150.252,
7,Carbonero,Compuesta_bipinada,0.01846666666666663,0.044666666666666854,58,6621.021151539858,6.414241425995747,142.157,
8,Carbonero,Compuesta_bipinada,0.01446666666666685,0.03166666666666673,77,9768.166660048983,7.727327806808214,130.485,
9,Carbonero,Compuesta_bipinada,0.014466666666666628,0.05966666666666676,75,9376.383620367058,7.178911038920171,120.202,
1,Casco de vaca,Simple,0.040422580645161466,0.31634193548387124,106/76/91/96,54675.263918179466,18.56667120974419,2854.429201524445,
2,Casco de vaca,Simple,0.03946129032258072,0.04763548387096783,73,9000.314271444548,13.108141495898877,876.5792504222223,
3,Casco de vaca,Simple,0.024061290322580642,0.07423548387096801,73,9000.314271444548,12.690237634977509,893.7163487644447,
4,Casco de vaca,Simple,0.012461290322580698,0.04983548387096781,130/126/112,75526.37863574187,20.84367227262954,966.351759048889,
5,Casco de vaca,Simple,0.017361290322580603,0.03133548387096785,112/104,36970.142577604056,15.66787827369098,936.4261558177778,
6,Casco de vaca,Simple,0.019661290322580793,0.0528354838709677,87/80,22373.500316269732,19.717602086535187,862.5704612355556,
7,Casco de vaca,Simple,0.02516129032258063,0.06963548387096785,60/120,30449.981656650263,16.403975304075484,1352.883530786667,
8,Casco de vaca,Simple,0.0166612903225809,0.03543548387096784,55,6226.70707396812,9.54047478223722,1516.289010426667,
9,Casco de vaca,Simple,0.023861290322580664,0.03543548387096784,63,7334.477967298512,8.740869835132035,944.7697950444445,
10,Casco de vaca,Simple,0.018361290322580937,0.001135483870967624,52-55,12082.583395400405,6.433726928794039,,
1,Cerezo,Simple_pequeña,0.039061290322580544,0.0589354838709677,17/18/23/25/18/15/16,20853.71659514599,4.7053079228338595,234.3345134088889,
1,Chiminango,4_foliolos,0.04516129032258087,0.012935483870967879,42/30/15/37,15558.716699004537,3.2724699628219165,304.704,
1,Churibio,4_foliolos,0.029361290322580613,0.014666666666666828,92/24/63/62/61/37,42448.352949302585,10.424833872241265,640.0063185511111,
1,Ciruelo,Paripinnada_tallo_hojas,0.02456129032258081,0.06566666666666676,124,25561.648060434145,8.108691082271754,1149.567880071111,
1,Ebano,Compuesta_bipinada,0.009466666666666734,0.03866666666666663,22/23/15/17,12010.383127916892,5.473921767177792,422.055,
2,Ebano,Compuesta_bipinada,0.010466666666666846,0.016666666666666607,29.7,3709.9718677055835,9.06485893991185,722.4,
3,Ebano,Compuesta_bipinada,0.012466666666666848,0.011666666666666714,39.5,4533.997884238532,9.197856377128165,,
1,Eugenio ,Simple,0.016161290322580624,0.07460215053763464,38/27,7907.42890030647,15.752001009954467,,
2,Eugenio ,Simple,0.03616129032258075,0.027535483870967825,42/30,8504.854813555125,15.562293934318635,,
3,Eugenio ,Simple,0.053161290322580546,0.021235483870967853,45/19,8054.527734701296,13.686490016428696,,
4,Eugenio ,Simple,0.013161290322580621,0.01943548387096783,40/26,8020.029160951616,14.004682649363055,,
5,Eugenio ,Simple,0.041161290322580646,0.02033548387096784,36/37,8528.398987949713,9.618841920801845,,
6,Eugenio ,Simple,0.02726129032258051,0.033935483870967786,27/19/51,12228.054414939907,8.58591978534246,,
7,Eugenio ,Simple,0.02316129032258063,0.016935483870967882,22/30/37,11209.689332268645,12.889341511974775,,
9,Eugenio ,Simple,0.02116129032258085,0.09333763440860232,34/11,6581.450688825977,29.27741167994195,,
10,Eugenio ,Simple,0.0143612903225806,0.0656021505376343,34/19,7031.583529618736,20.662284606992557,,
1,Falso laurel,Simple_pequeña,0.013466666666666738,0.021666666666666723,179,78790.78260682251,23.8350718518842,262.638,
2,Falso laurel,Simple_pequeña,0.011466666666666736,0.030666666666666842,240,274596.5376651874,37.614529306926634,205.766,
3,Falso laurel,Simple_pequeña,0.01646666666666685,0.030666666666666842,"87,5/86/146/ 89",76441.48363027762,25.598832643861577,233.553,
4,Falso laurel,Simple_pequeña,0.01746666666666674,0.01866666666666683,217,171495.04840736382,32.006690580821015,209.269,
5,Falso laurel,Simple_pequeña,0.013466666666666738,0.05033333333333334,291,779877.2179190471,22.495529786154478,251.968,
6,Falso laurel,Simple_pequeña,0.010466666666666846,0.01766666666666672,308,1104426.0099203768,18.18052886241581,294.232,
7,Falso laurel,Simple_pequeña,0.012466666666666848,0.033666666666666734,102.3/163,73182.2483514165,14.56268612901544,245.7,
8,Falso laurel,Simple_pequeña,0.01916129032258085,0.030666666666666842,217,171495.04840736382,19.624321955959598,183.852,
9,Falso laurel,Simple_pequeña,0.06716129032258089,0.035666666666666735,175,72597.22625892558,20.39110905670868,226.307,
10,Falso laurel,Simple_pequeña,0.06816129032258078,0.021666666666666723,331,1768398.3371410992,21.155597155426587,258.713,
1,Falso pimiento,Compuesta_imparipinnada,0.012466666666666848,0.04066666666666663,82,10820.74826665774,8.954695792840937,756.294,
2,Falso pimiento,Compuesta_imparipinnada,0.012466666666666848,0.035666666666666735,76,9570.270522419889,6.452785228463761,478.758,
3,Falso pimiento,Compuesta_imparipinnada,0.012466666666666626,0.01866666666666661,56-84,17628.34695221426,5.877842795278028,844.997,
4,Falso pimiento,Compuesta_imparipinnada,0.010466666666666624,0.024666666666666615,53-78,15947.120344126648,4.898202329398357,483.276,
5,Falso pimiento,Compuesta_imparipinnada,0.011466666666666736,0.02966666666666673,33-42,8741.240468143069,3.6477539617093218,878.02,
6,Falso pimiento,Compuesta_imparipinnada,0.009466666666666734,0.01966666666666672,38-39-44-44,18827.605103633556,3.6836913485723173,1028.924,
7,Falso pimiento,Compuesta_imparipinnada,0.009466666666666734,0.012666666666666826,47/54/32,15275.602196280703,7.837123727037371,551.627,
8,Falso pimiento,Compuesta_imparipinnada,0.011466666666666736,0.01966666666666672,107/64/23,28770.75494674456,16.67200337294842,438.9,
9,Falso pimiento,Compuesta_imparipinnada,0.009466666666666734,0.03166666666666673,43/70/94,27168.23711901997,11.671720450738977,422.646,
10,Falso pimiento,Compuesta_imparipinnada,0.008466666666666622,0.015666666666666718,62/70/60/59/80,39692.542591330195,6.663143657335704,427.223,
2,Frangipan,Simple,0.020361290322580716,0.09693548387096795,31/25/26,10619.117616014417,3.7652820138233123,1206.29500676,
3,Frangipan,Simple,0.08218387096774216,0.1271709677419356,19/19/17,8821.365188703106,3.3970196445747716,1412.68556172,
1,Grosello,Simple_pequeña,0.05088924731182809,0.06260430107526926,,0.0,,275.7952907022223,
1,Gualanday,Compuesta_bipinada,0.008161290322580728,0.03593548387096779,93,13552.974037551576,16.67200337294842,8746.347,
2,Gualanday,Compuesta_bipinada,0.017161290322580736,0.03593548387096779,130,28901.60296878623,20.014934182042808,8227.937,
3,Gualanday,Compuesta_bipinada,0.015861290322580768,0.04260215053763439,117,22149.65289618294,17.27054595242531,3931.129,
4,Gualanday,Compuesta_bipinada,0.015161290322580734,0.03893548387096768,135,32015.933092869196,21.0006718959081,3609.365,
5,Gualanday,Compuesta_bipinada,0.024161290322580742,0.023135483870967644,129,28316.07696397258,20.014934182042808,2798.163,
